datetime,city,latitude,longitude,temperature_celsius,humidity_pct,pressure_hpa,wind_speed_ms,visibility,rain,clouds,weather_condition,weather_description
2023-12-22 22:38:40+03,Mandera,3.93564,41.85512,11.98,85,1019,18.41,8983,0.67,62,clear,thunderstorms with light rains
2024-01-26 03:42:03+03,Athi River,-1.45772,36.97850,35.63,40,1061,14.74,2572,0.46,95,clear,heavy snow
2023-12-01 15:01:00+03,Lodwar,3.11552,35.60408,31.27,93,938,8.06,13040,0.65,17,clear,partly cloudy
2023-11-29 11:47:55+03,Homa Bay,-0.53504,34.45310,27.12,52,1033,13.44,11360,0.46,32,drizzle,thunderstorms with light rains
2023-11-26 17:32:53+03,Kisii,-0.67733,34.77960,24.42,33,877,14.22,18295,0.8,85,clouds,hazy
2023-12-21 15:25:59+03,Malikisi,0.68124,34.42121,28.11,85,915,2.82,16331,0.23,35,thunderstorms,thunderstorms
2023-11-11 05:01:50+03,Kinango,-4.13934,39.31803,10.81,25,1042,10.28,14077,0.21,59,clouds,snowy
2023-11-29 07:49:06+03,Kapsabet,0.20296,35.09784,35.43,89,880,8.77,6500,0.44,23,snow,hazy
2024-01-04 09:30:50+03,Meru,0.05147,37.64560,39.17,22,876,0.41,9551,0.93,62,rain,thunderstorms
2024-01-22 03:05:30+03,Rongai,-1.39386,36.74424,35.69,58,928,9.47,5150,0.1,53,clear,snowy
2024-01-20 17:36:55+03,Migori,-1.07070,34.47527,35.46,10,912,12.59,11249,0.29,0,clouds,hazy
2023-11-26 22:05:03+03,Moyale,3.53998,39.05284,30.92,92,889,19.12,5133,0.86,42,thunderstorms,windy
2023-11-19 19:53:49+03,Karuri,-0.71344,37.03735,22.15,93,985,0.01,7144,0.12,92,snow,thunderstorms with light rains
2023-12-05 10:02:15+03,Malaba,0.63621,34.27828,26.65,97,984,4.3,2539,0.88,93,clear,hazy
2024-01-19 00:58:18+03,Eldama Ravine,0.05304,35.72977,11.31,33,971,15.54,19377,0.03,51,rain,hazy
2024-01-27 09:04:53+03,Moyale,3.53998,39.05284,17.58,85,1081,17.74,6465,0.73,29,clear,partly cloudy
2023-12-29 01:00:29+03,Bungoma,0.56953,34.55838,31.89,77,874,6.77,15456,0.13,24,drizzle,thunderstorms with light rains
2024-01-17 18:52:59+03,Kitui,-1.37508,37.99521,37.1,9,941,8.67,12021,0.7,74,clouds,stormy
2024-01-17 18:30:24+03,Siaya,-0.09982,34.27470,28.35,77,980,7.06,9218,0.13,33,clouds,partly cloudy
2023-12-14 13:06:03+03,Kipini,-2.52656,40.52925,30.64,58,947,2.32,7805,0.78,53,clear,cloudy
2024-01-29 00:12:42+03,Malindi,-3.21919,40.11689,24.21,1,987,18.23,5819,0.7,80,rain,moderate rain
2023-12-15 12:48:05+03,Keruguya,-0.49933,37.27848,13.1,88,999,12.89,4298,0.07,41,drizzle,thunderstorms with light rains
2023-12-12 06:21:21+03,Naivasha,-0.71718,36.43103,13.5,33,974,18.44,5323,0.38,63,thunderstorms,cloudy
2023-11-24 20:09:08+03,Kihancha,-1.19398,34.61650,27.29,86,877,0.47,10412,0.46,45,clear,thunderstorms with light rains
2024-01-12 11:09:08+03,Kipini,-2.52656,40.52925,25.7,71,933,11.5,7711,0.91,87,clear,stormy
2023-12-11 05:00:22+03,Litein,-0.58262,35.19012,21.75,52,980,15.22,16131,0.49,20,clouds,cloudy
2023-11-26 20:10:53+03,Kilifi,-3.51065,39.90933,28.72,80,1035,3.42,4129,0.09,34,rain,snowy
2023-12-30 14:33:27+03,Kitui,-1.37508,37.99521,25.52,26,1005,9.13,10424,1,85,drizzle,thunderstorms with light rains
2024-01-25 10:56:18+03,Mbale,1.07844,34.18101,32.47,24,915,1.8,1488,0.42,84,drizzle,thunderstorms
2023-11-24 16:37:58+03,Kabarnet,0.49011,35.74342,35.25,21,915,1.82,17330,0.35,96,clear,thunderstorms
2024-01-17 17:05:04+03,Maralal,1.09314,36.70183,11,96,1015,7.47,6747,1,12,clouds,light rain
2023-11-11 08:19:52+03,Nyahururu,0.03516,36.36429,33.58,18,919,15.17,16646,0.07,47,clear,light rain
2024-01-14 00:54:43+03,Kajiado,-2.09808,36.78195,27.88,12,978,3.88,13697,0.56,71,clouds,cloudy
2023-11-01 02:43:27+03,Butere,0.21982,34.49190,27.35,65,1076,8.19,5970,0.28,15,thunderstorms,thunderstorms with light rains
2024-01-21 09:17:14+03,Kakamega,0.28273,34.75186,18.5,49,1049,3.78,9142,0.57,5,thunderstorms,thunderstorms with light rains
2023-11-07 21:11:40+03,Litein,-0.58262,35.19012,18.88,13,1006,9.05,10413,0.35,45,clear,foggy
2024-01-17 01:31:30+03,Eldama Ravine,0.05304,35.72977,29.45,78,1009,16.24,9689,0.02,58,clear,heavy snow
2023-12-19 14:16:58+03,Eldoret,0.51428,35.26978,12.93,81,1040,11.35,2725,0.43,82,drizzle,stormy
2024-01-02 12:20:43+03,Kajiado,-2.09808,36.78195,15.15,3,983,7.4,15889,0.51,76,thunderstorms,hazy
2024-01-17 17:24:05+03,Kajiado,-2.09808,36.78195,11.77,92,959,18.76,3384,0.61,32,drizzle,windy
2023-11-17 22:20:46+03,Marsabit,2.33550,37.99435,18.43,70,1080,18.37,9376,0.46,14,clouds,windy
