city,country,latitude,longitude,temperature,humidity,pressure,wind_speed,visibility,rain,clouds,sunrise,sunset,weather_condition,weather_description,datetime
Mombasa,KE,-4.0547,39.6636,24.92,86,1016,5.91,10000,0.22,2,2024-10-11 03:02:28+00:00,2024-10-11 15:13:15+00:00,Rain,light rain,2024-10-11 17:00:37+00:00
Kwale,KE,-4.1738,39.4521,21.48,89,1016,3.69,10000,0.0,2,2024-10-11 03:03:16+00:00,2024-10-11 15:14:10+00:00,Clear,clear sky,2024-10-11 17:01:10+00:00
Kilifi,KE,-3.6305,39.8499,25.07,86,1015,6.49,10000,0.0,1,2024-10-11 03:01:57+00:00,2024-10-11 15:12:18+00:00,Clear,clear sky,2024-10-11 17:01:12+00:00
Lamu,KE,-2.2717,40.902,25.29,87,1015,6.9,10000,0.0,8,2024-10-11 02:58:25+00:00,2024-10-11 15:07:24+00:00,Clear,clear sky,2024-10-11 17:01:18+00:00
Garissa,KE,-0.4536,39.6401,28.62,52,1012,12.09,10000,0.0,1,2024-10-11 03:04:23+00:00,2024-10-11 15:11:32+00:00,Clear,clear sky,2024-10-11 17:01:23+00:00
Wajir,KE,1.7471,40.0573,32.38,30,1010,5.05,10000,0.0,15,2024-10-11 03:03:49+00:00,2024-10-11 15:08:46+00:00,Clouds,few clouds,2024-10-11 17:01:25+00:00
Mandera,KE,3.9366,41.867,32.87,30,1010,4.69,10000,0.0,85,2024-10-11 02:57:40+00:00,2024-10-11 15:00:26+00:00,Clouds,overcast clouds,2024-10-11 17:01:27+00:00
Marsabit,KE,2.3284,37.9899,24.96,31,1012,9.1,10000,0.0,9,2024-10-11 03:12:23+00:00,2024-10-11 15:16:44+00:00,Clear,clear sky,2024-10-11 17:01:29+00:00
Isiolo,KE,0.3546,37.5822,25.59,39,1013,9.91,10000,0.0,39,2024-10-11 03:13:01+00:00,2024-10-11 15:19:22+00:00,Clouds,scattered clouds,2024-10-11 17:01:33+00:00
Meru,KE,0.0463,37.6559,20.7,51,1016,5.12,10000,0.0,51,2024-10-11 03:12:34+00:00,2024-10-11 15:19:13+00:00,Clouds,broken clouds,2024-10-11 17:00:23+00:00
Embu,KE,-0.5311,37.4506,22.05,46,1015,2.81,10000,0.0,29,2024-10-11 03:13:06+00:00,2024-10-11 15:20:20+00:00,Clouds,scattered clouds,2024-10-11 17:01:40+00:00
Kitui,KE,-1.367,38.0106,23.88,41,1014,5.87,10000,0.0,2,2024-10-11 03:10:27+00:00,2024-10-11 15:18:31+00:00,Clear,clear sky,2024-10-11 17:01:42+00:00
